그룹명,멤버
원위 ," 용훈(리더, 메인보컬), 강현(기타), 하린(드럼), 동명(보컬, 키보드), 키아(랩, 베이스) "
씨야," 김연지(메인보컬), 이보람(리더, 보컬), 남규리 "
일렉트로보이즈," 차쿤(보컬), 마부스(리더, 랩), 원카인(랩) "
써니사이드," MJ, Kidstep "
네미시스," 노승호(보컬), 하세빈(기타, 피아노), 정의석(드럼), 최성우(베이스) "
딜라잇," 연두, 은새, 태희, 수민, 재원 "
터치," 성용(보컬), 젭(보컬), 철민(보컬), 상욱(랩) "
UVERworld," 타쿠야(보컬), 카츠야(기타), 아키라(기타), 노부토(베이스), 신타로(드럼), 세이카(색소폰) "
"Earth, Wind & Fire"," 레지 영(Reggie Young), 게리 바이어스(Gary Bias), B. 데이비드 휘트워스(B. David Whitworth), 미론 맥킨리(Myron McKinley), 존 패리스(John Paris), 바비 번즈 주니어(Bobby Burns. Jr), G-Mo(Greg Moore), 킴 존슨(Kim Johnson), 모리스 오코넬(Morris O' Connor),  필립 베일리 주니어(Philip Bailey Jr.), 필립 베일리(Philip Bailey, 보컬), 모리스 화이트(Maurice White, 보컬, 드럼), 랄프 존슨(Ralph Johnson, 보컬, 드럼), 버딘 화이트(Verdine White, 베이스) "
M.Y.M.P," Chin Alcantara(기타), Hannche Bobis(키보드), Jeff lima(드럼), Chrisbery Haber(베이스), Juliet Bahala(보컬) "
디에이드 ," 안다은(보컬), 김규년(기타) "
장덕철," 장중혁(메인보컬), 덕인(리드보컬, 리더), 임철(보컬) "
자전거 탄 풍경," 송봉주, 김형섭, 강인봉 "
지누션," 지누(보컬, 랩), 션(랩, 안무) "
M.Street ," 광토(보컬), 설(보컬), 더블유(보컬) "
Presidents Of The United States Of America," 크리스 밸류(Chris Ballew, 보컬), 데이브 데더러(Dave Dederer, 베이스), 제이슨 핀(Jason Finn, 드럼), 앤드류 맥케스(Andrew McKeag, 베이스) "
히스토리," 송경일(리더, 랩, 서브보컬), 나도균(메인보컬), 김시형(랩), 김재호(랩, 서브보컬), 장이정(메인보컬) "
울랄라세션," 김명훈(보컬), 박승일(베이스보컬), 최도원(보컬) "
Van Halen," 데이빗 리 로스(David Lee Roth, 보컬), 에디 반 헤일런(Eddie Van Halen, 기타), 볼프강 반 헤일런(Wolfgang Van Halen, 베이스), 알렉스 반 헤일런(Alex Van Halen, 드럼) "
Apink ," 박초롱, 윤보미, 정은지, 손나은, 김남주, 오하영 "
노래를 찾는 사람들," 한동헌, 김창남, 조경옥, 권진원, 신지아, 송숙환, 최문정, 조성태, 문진오, 윤선애, 임정현, 김명식, 유연이, 박동홍 "
악퉁," 추승엽(보컬, 어쿠스틱 기타), 장세환(드럼), 김엘리사(베이스) "
달샤벳," 세리, 아영, 우희, 수빈 "
후니용이," 후니(보컬), 용이(보컬) "
멜로망스," 김민석(보컬), 정동환(피아노) "
허니 패밀리," 박명호(랩, 작사, 작곡, 프로듀싱), 주라(보컬, 랩, 작사, 작곡, 프로듀싱), MC창진(랩) "
티지어스," 한관희(리드 보컬), 박상준(보컬) "
Nickelback," 채드 크로거(Chad Kroeger, 리드보컬), 리안 피케(Ryan Peake, 기타), 마이크 크로거(Mike Kroeger, 베이스), 다니엘 어데어(Daniel Adair, 드럼) "
불독 맨션," 이한철(보컬, 리더, 기타), 서창석(기타), 이한주(베이스) "
BIGBANG," G-DRAGON(리더, 랩, 보컬), 태양(메인보컬, 랩), T.O.P(랩, 보컬), 대성(보컬) "
마인드유," 재희(보컬), 고닥(프로듀싱) "
둘 다섯," 오세복, 우영철 "
여자친구 ," 소원, 예린, 은하, 유주, 신비, 엄지 "
AKMU ," 이찬혁, 이수현 "
구구단 ," 하나, 미미, 나영, 해빈, 세정, 소이, 샐리, 미나 "
몽니," 공태우(기타), 김신의(보컬), 이인경(베이스), 정훈태(드럼) "
소리얼," 변장문, 류필립, 주대건 "
GOT7 ," JB(리더), 마크, 잭슨, 진영, 영재, 뱀뱀, 유겸 "
키네틱 플로우," 비도승우, ULT "
러블리즈," 베이비소울, 유지애, 서지수, 이미주, Kei, JIN, 류수정, 정예인 "
블락비 ," 지코, 태일, 재효, 비범, 피오, 박경, 유권 "
Journey," 조나단 케인(키보드), 딘 카스트로노보(드럼), 아널 피네다(보컬), 닐 숀(기타), 로스 밸로리(베이스) "
테이크 아웃," 정세영(리드보컬), 유성규(보컬, 프로듀서) "
럭키제이 ," 제이켠, 제시 "
인피니트," 김성규(리더, 메인보컬), 장동우(랩), 남우현(메인보컬), 이성열(보컬), 엘(보컬), 이성종(보컬) "
