N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
32,넷마블,"139,500",500,-0.36%,100,"119,905","85,954",24.01,"266,556",38.25,6.35,
33,SK바이오사이언스,"153,000","2,500",+1.66%,500,"117,045","76,500",2.79,"1,802,206",284.92,13.25,
34,KT&G,"83,200",300,+0.36%,"5,000","114,227","137,292",40.14,"365,858",9.75,13.22,
35,한국조선해양,"150,500","9,500",+6.74%,"5,000","106,514","70,773",18.30,"1,061,199",-12.77,-7.42,
36,롯데케미칼,"297,000","3,500",+1.19%,"5,000","101,798","34,275",25.75,"275,544",64.24,1.22,
37,한화솔루션,"49,700",0,0.00%,"5,000","95,065","191,278",17.46,"1,117,233",26.97,5.30,
38,S-Oil,"84,300","6,300",+8.08%,"2,500","94,907","112,583",75.85,"1,843,465",-12.35,-13.07,
39,LG디스플레이,"26,500",550,-2.03%,"5,000","94,821","357,816",24.69,"5,714,662",-106.00,-0.79,
40,삼성화재,"199,000","3,000",+1.53%,500,"94,276","47,375",47.02,"176,187",13.33,4.96,
41,대한항공,"26,800",600,+2.29%,"5,000","93,216","347,821",10.46,"2,880,585",-22.62,-7.22,
42,하이브,"259,000",500,+0.19%,500,"92,266","35,624",8.01,"215,597",N/A,12.52,
43,SK바이오팜,"117,500","1,000",-0.84%,500,"92,018","78,313",7.59,"334,906",-34.14,-135.18,
44,한온시스템,"16,850",250,-1.46%,100,"89,945","533,800",19.46,"1,231,738",81.40,5.09,
45,금호석유,"283,000","5,000",+1.80%,"5,000","86,224","30,468",25.64,"523,033",16.26,20.18,
46,고려아연,"438,000","1,000",-0.23%,"5,000","82,651","18,870",22.30,"59,922",14.43,8.37,
47,KT,"29,400",50,-0.17%,"5,000","76,767","261,112",43.05,"644,901",11.67,4.76,
48,우리금융지주,"10,600",100,+0.95%,"5,000","76,560","722,268",26.97,"3,265,902",5.86,5.87,
49,현대글로비스,"194,500","7,500",+4.01%,500,"72,938","37,500",32.74,"445,877",12.03,12.45,
50,현대제철,"52,000",500,+0.97%,"5,000","69,392","133,446",20.68,"1,707,587",-16.14,-2.59,
51,기업은행,"9,390",90,+0.97%,"5,000","69,361","738,664",12.27,"2,775,311",4.68,6.44,
52,한국타이어앤테크놀로지,"53,400","1,800",+3.49%,500,"66,149","123,875",41.97,"363,510",17.76,5.12,
53,미래에셋증권,"10,050",80,+0.80%,"5,000","63,849","635,316",14.99,"1,414,111",9.84,8.94,
54,한국금융지주,"114,000","6,000",+5.56%,"5,000","63,528","55,726",31.73,"521,105",8.13,16.27,
55,CJ제일제당,"409,500","1,000",-0.24%,"5,000","61,647","15,054",24.91,"30,258",9.78,13.50,
56,두산중공업,"14,000",200,+1.45%,"5,000","59,147","422,481",9.14,"1,889,010",-3.57,-37.20,
57,LG유플러스,"13,500",250,+1.89%,"5,000","58,943","436,611",30.60,"2,743,132",12.63,6.46,
58,현대건설,"51,400","1,600",+3.21%,"5,000","57,237","111,356",20.39,"1,477,655",46.81,1.84,
59,아모레G,"67,900",300,+0.44%,500,"55,989","82,458",19.55,"116,900",628.70,0.31,
60,SKC,"142,500","3,500",-2.40%,"5,000","53,962","37,868",10.70,"294,521",144.08,2.21,
61,강원랜드,"25,000",500,+2.04%,500,"53,485","213,940",21.18,"685,660",-19.39,-7.92,
62,LG이노텍,"217,000","4,500",+2.12%,"5,000","51,358","23,667",30.23,"166,859",21.75,10.20,
63,현대중공업지주,"63,700","5,000",+8.52%,"1,000","50,319","78,993",17.23,"1,143,994",-8.35,-8.12,
64,신풍제약,"94,400","5,500",-5.51%,500,"50,018","52,985",11.54,"1,550,745","1,037.36",1.72,
65,코웨이,"67,500",500,+0.75%,500,"49,815","73,800",58.43,"203,632",12.30,31.51,
66,한미사이언스,"71,800",0,0.00%,500,"48,325","67,305",1.60,"427,231",213.69,3.47,
67,오리온,"120,500","1,000",+0.84%,500,"47,641","39,536",41.65,"102,568",17.80,15.50,
68,이마트,"168,500",500,+0.30%,"5,000","46,971","27,876",30.96,"159,390",12.98,4.05,
69,두산밥캣,"46,850","2,550",+5.76%,500,"46,967","100,249",24.29,"318,394",18.98,6.15,
70,유한양행,"66,900",300,-0.45%,"1,000","46,812","69,973",19.08,"214,355",24.70,11.06,
71,삼성중공업,"7,420",300,+4.21%,"5,000","46,746","630,000",15.97,"11,589,866",-3.15,-33.06,
72,녹십자,"391,000",0,0.00%,"5,000","45,694","11,687",19.36,"160,860",56.38,7.48,
73,KODEX 200,"43,820",395,+0.91%,0,"44,609","101,800",7.30,"3,257,278",N/A,N/A,
74,맥쿼리인프라,"11,950",150,-1.24%,0,"44,477","372,192",15.58,"1,543,288",N/A,N/A,
75,한미약품,"358,000","9,500",-2.59%,"2,500","43,240","12,078",13.61,"103,956",361.62,1.65,
76,GS,"44,400","2,150",+5.09%,"5,000","41,254","92,915",18.32,"873,921",-17.32,-2.82,
77,CJ대한통운,"180,500","4,500",+2.56%,"5,000","41,176","22,812",22.05,"48,553",33.47,3.89,
78,GS건설,"47,450","1,200",+2.59%,"5,000","40,565","85,491",28.55,"879,562",12.20,7.68,
79,삼성카드,"35,000",600,+1.74%,"5,000","40,551","115,859",11.65,"86,360",10.17,5.69,
80,팬오션,"7,430",430,+6.14%,"1,000","39,719","534,570",11.61,"35,772,205",42.95,3.25,
81,쌍용C&E,"7,870",30,-0.38%,100,"39,654","503,860",3.34,"2,814,483",28.72,7.92,
82,현대차2우B,"106,500","1,500",+1.43%,"5,000","38,857","36,485",61.48,"85,231",20.71,N/A,
83,삼성증권,"42,600",250,+0.59%,"5,000","38,042","89,300",27.23,"418,238",7.49,9.89,
84,롯데지주,"35,600",950,+2.74%,200,"37,348","104,909",11.06,"245,812",-19.00,-3.03,
85,한진칼,"55,700",900,+1.64%,"2,500","36,908","66,263",15.51,"99,699",-12.44,-19.55,
86,키움증권,"136,000",0,0.00%,"5,000","35,407","26,034",23.32,"91,011",4.91,27.63,
87,롯데쇼핑,"123,500","1,500",+1.23%,"5,000","34,937","28,289",12.19,"44,835",-4.45,-7.70,
88,NH투자증권,"12,400",150,+1.22%,"5,000","34,895","281,409",16.78,"1,012,939",6.45,10.32,
89,씨에스윈드,"81,600","2,100",-2.51%,500,"34,412","42,171",10.50,"525,708",96.57,8.19,
90,DB손해보험,"48,050",400,+0.84%,500,"34,019","70,800",42.99,"257,229",6.09,9.08,
91,일진머티리얼즈,"73,300","1,100",-1.48%,500,"33,799","46,111",8.95,"248,580",79.07,7.23,
92,SK케미칼,"285,000","2,000",-0.70%,"5,000","33,491","11,751",19.34,"108,015",14.79,30.49,
93,한국항공우주,"34,200",0,0.00%,"5,000","33,336","97,475",13.58,"529,490",44.65,6.39,
94,대우조선해양,"31,000","1,950",+6.71%,"5,000","33,260","107,291",8.61,"1,296,432",38.41,2.27,
95,호텔신라,"84,600","1,100",+1.32%,"5,000","33,204","39,248",17.63,"464,554",-11.94,-36.74,
96,OCI,"139,000","5,500",-3.81%,"5,000","33,151","23,849",21.57,"432,176",-13.47,-9.89,
97,메리츠증권,"4,865",160,+3.40%,"1,000","32,886","675,962",14.35,"2,824,849",6.29,13.08,
98,삼성엔지니어링,"16,650","1,000",+6.39%,"5,000","32,634","196,000",26.27,"6,132,977",13.33,16.75,
99,동서,"32,550",600,+1.88%,500,"32,452","99,700",3.73,"133,786",27.73,8.61,
100,두산퓨얼셀,"49,350",650,-1.30%,100,"32,321","65,494",17.81,"663,111",255.70,4.18,
101,효성티앤씨,"741,000","2,000",-0.27%,"5,000","32,068","4,328",20.10,"66,087",23.44,25.10,
102,현대오토에버,"114,500","1,000",+0.88%,500,"31,400","27,424",1.17,"78,130",40.76,11.09,
103,LG화학우,"405,000","13,000",+3.32%,"5,000","31,140","7,689",63.83,"23,482",61.84,N/A,
104,에스원,"81,900",400,+0.49%,500,"31,121","37,999",56.00,"35,952",21.90,10.48,
105,한국가스공사,"33,350",250,+0.76%,"5,000","30,786","92,313",9.39,"258,554",-17.89,-2.24,
106,한화생명,"3,480",0,0.00%,"5,000","30,225","868,530",8.12,"17,803,837",12.84,1.90,
107,대우건설,"7,210",120,+1.69%,"5,000","29,966","415,623",9.05,"3,972,694",10.56,11.06,
108,현대미포조선,"73,000","6,200",+9.28%,"5,000","29,158","39,942",12.48,"1,005,239",-149.59,-0.84,
109,KCC,"325,500",500,+0.15%,"5,000","28,925","8,886",12.31,"45,952",4.85,12.79,
110,CJ,"98,300","2,400",+2.50%,"5,000","28,681","29,177",18.90,"105,386",40.45,1.89,
111,만도,"60,900","1,200",-1.93%,"1,000","28,597","46,957",23.54,"616,842",495.12,0.37,
