먼데이키즈,사랑이 식었다고 말해도 돼,[]
김길중,사랑했지만,[]
NCT DREAM,BOOM,"['k-pop', 'best of 2019', 'Pops In Seoul', 'hi emi - from zaina']"
마인드유,To. 첫사랑,[]
A.C.E(에이스),UNDER COVER,[]
XYZ,CocktaiL,[]
노라조,샤워,[]
하성운,오늘 뭐해?!,[]
Tom Jones,I'm Coming Home,"['coming home by tom jones', 'vocal', 'pop', 'classic rock', 'Tom Jones']"
Pink Sweat$,Honesty,['kimmel']
10cm,별자리,[]
로켓펀치,빔밤붐(BIM BAM BUM),[]
하현우(국카스텐),환상,[]
Kiana Lede,EX,[]
위키미키,Tiki-Taka(99%),[]
다비치,고백,[]
김진호,누군가의 이야기,[]
정인,사랑 그 깊은 곳,[]
Twice,HAPPY HAPPY,"['JPop', 'j-pop', 'la la la', '2019', 'unbridled optimism']"
기리보이,Party is over,[]
Official髭男dism,Pretender,['j-pop']
FANXY CHILD,Y,[]
정동하,그게 너였어,[]
정승환,우주선,[]
양다일,이 밤,[]
헨리,I LUV U,[]
이준호,결혼하는 날,[]
정세운,내 이름을 부르면,[]
데이식스,포장,[]
San E,애쓴다,[]
레드벨벳,음파음파(Umpah Umpah),[]
Sam Smith,How Do You Sleep?,"['pop', 'synthpop', 'british', 'dance', 'dance-pop']"
더 로즈,RED,[]
윤딴딴,발명가,[]
다비치,아로하,[]
업텐션,Blue Rose,[]
Simon Dominic,DAx4,[]
기리보이,꺼져,[]
우디,대충 입고 나와,[]
잔나비,뜨거운 여름밤은 가고 남은 건 볼품없지만,[]
에버글로우,Adios,['hino']
BTOB,Finale: 우리들의 콘서트,[]
ヨルシカ,ただ君に晴れ,[]
신지,느낌이 좋아,[]
여자친구,Love Oh Love,[]
크나큰,SUNSET,[]
소수빈,난 행복해,[]
덕인,어쩌면 그날이 오늘,[]
임창정,친구 10년 사랑 1년,[]
문희옥,평행선,[]
죠지,camping everywhere,[]
더보이즈,D.D.D,[]
엑스원,FLASH,[]
Lauv,Never Not,"['indie pop', 'hairy chest', 'hunks']"
都はるみ,好きになった人,"['enka', 'japanese', 'female vocalists', 'JPop', 'Asian']"
선미,날라리(LALALAY),[]
김나희,여우와 늑대,[]
숀(SHAUN),36.5,[]
크러쉬,나빠(NAPPA),[]
박정현,다시 사랑이,[]
엑스원,웃을 때 제일 예뻐,[]
이해리,종이별의 꿈,[]
몬스타엑스,폭우,"['pop', 'bop', 'Asian', 'k-pop', 'male vocalists']"
업텐션,CANDYLAND,[]
NCT DREAM,Fireflies,[]
빅톤,느린 이별,[]
송하예,니 소식,[]
배치기,반칙왕,[]
한승기,순리,[]
BTOB,신바람,[]
황인욱,포장마차,[]
Aimer,April Showers,[]
Twice,Breakthrough,"['pop', 'japanese', 'dance', 'JPop', 'j-pop']"
나미,가까이 하고 싶은 그대,[]
엑스원,괜찮아요,[]
크루셜스타,cigarette,[]
업텐션,Your Gravity,[]
로코베리,너의 밤은 안녕하니?,[]
정승환,이 노래가,[]
